"xtmp","power_x","power_x_l","power_x_u","power_x_cl","power_x_cu","precision_x","precision_x_l","precision_x_u","precision_x_cl","precision_x_cu","no_clusters_x","no_clusters_l","no_clusters_u","no_clusters_cl","no_clusters_cu"
0,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0
1,0.23063319948508,0.331881082399437,0.181464965022421,0.156481004010692,0.622665946266927,103.904186998803,161.55239190881,76.5869514674517,62.7973907957977,358.614405287414,1,1,1,1,1
2,0.409008287996927,0.578105754657765,0.3174638235173,0.269232767286377,0.895037439268052,207.808373997605,323.10478381762,153.173902934903,125.594781591595,717.228810574827,2,2,2,2,2
3,0.563040296359827,0.752326048208887,0.443926971854411,0.377181491644204,0.975924983967524,311.712560996408,484.657175726431,229.760854402355,188.392172387393,1075.84321586224,3,3,3,3,3
4,0.686671564540509,0.862256671530633,0.555816692827308,0.476838999360101,0.995130261060982,415.61674799521,646.209567635241,306.347805869807,251.189563183191,1434.45762114965,4,4,4,4,4
5,0.780888145714313,0.926550798922113,0.651096424391667,0.566077834488888,0.999100026318909,519.520934994013,807.761959544051,382.934757337259,313.986953978989,1793.07202643707,5,5,5,5,5
6,0.849958152201951,0.962141258787056,0.729867037897486,0.644065843484502,0.999844756158452,623.425121992815,969.314351452861,459.52170880471,376.784344774786,2151.68643172448,6,6,6,6,6
7,0.899079007417933,0.981027088709099,0.793469397867592,0.710887930619365,0.99997465085255,727.329308991618,1130.86674336167,536.108660272162,439.581735570584,2510.3008370119,7,7,7,7,7
8,0.933163062562098,0.990715287679217,0.843838264729949,0.767211338094285,0.999996043173448,831.23349599042,1292.41913527048,612.695611739614,502.379126366382,2868.91524229931,8,8,8,8,8
9,0.956333632198794,0.995548458999886,0.883082690025007,0.814030975489454,0.999999405308693,935.137682989223,1453.97152717929,689.282563207066,565.17651716218,3227.52964758672,9,9,9,9,9
10,0.971813224984968,0.997903505934638,0.913236475469667,0.852488240223699,0.999999913469832,1039.04186998803,1615.5239190881,765.869514674517,627.973907957977,3586.14405287414,10,10,10,10,10
